,ParkName,ParkType,Region,State,Year,Month,RecVisitors2018,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,UnitCode,Gross Acres 2018,VisitorDensity2018
0,Acadia NP,National Park,Northeast ,ME,2018,1,11974,600,79026,600,0,0,0,0,0,0,ACAD,49075.26,0.243992594
1,Acadia NP,National Park,Northeast ,ME,2018,2,12167,600,80301,600,0,0,0,0,0,0,ACAD,49075.26,0.247925329
2,Acadia NP,National Park,Northeast ,ME,2018,3,23756,600,156790,600,0,0,0,0,0,0,ACAD,49075.26,0.48407283
3,Acadia NP,National Park,Northeast ,ME,2018,4,72858,600,421428,600,0,0,0,0,0,0,ACAD,49075.26,1.484617708
4,Acadia NP,National Park,Northeast ,ME,2018,5,249050,7500,1854392,7500,0,25,11325,3912,126,0,ACAD,49075.26,5.074858493
5,Acadia NP,National Park,Northeast ,ME,2018,6,499163,7500,3861197,7500,0,296,25626,10479,323,0,ACAD,49075.26,10.17137759
6,Acadia NP,National Park,Northeast ,ME,2018,7,759165,7500,5119628,7500,0,188,37218,12723,345,0,ACAD,49075.26,15.46940352
7,Acadia NP,National Park,Northeast ,ME,2018,8,767219,7500,5175840,7500,0,370,37923,12579,345,0,ACAD,49075.26,15.6335188
8,Acadia NP,National Park,Northeast ,ME,2018,9,600397,7500,3885466,7500,0,485,25128,14097,271,0,ACAD,49075.26,12.23420925
9,Acadia NP,National Park,Northeast ,ME,2018,10,488204,6000,2657950,6000,0,0,7524,4425,62,0,ACAD,49075.26,9.948067519
10,Acadia NP,National Park,Northeast ,ME,2018,11,40930,600,245582,600,0,0,0,0,0,0,ACAD,49075.26,0.834025128
11,Acadia NP,National Park,Northeast ,ME,2018,12,12692,600,76154,600,0,0,0,0,0,0,ACAD,49075.26,0.258623184
12,African Burial Ground NM,National Monument,Northeast ,NY,2018,1,1172,0,1172,0,0,0,0,0,0,0,AFBG,0.35,3348.571429
13,African Burial Ground NM,National Monument,Northeast ,NY,2018,2,2067,0,2067,0,0,0,0,0,0,0,AFBG,0.35,5905.714286
14,African Burial Ground NM,National Monument,Northeast ,NY,2018,3,1569,0,1569,0,0,0,0,0,0,0,AFBG,0.35,4482.857143
15,African Burial Ground NM,National Monument,Northeast ,NY,2018,4,2781,0,2579,0,0,0,0,0,0,0,AFBG,0.35,7945.714286
16,African Burial Ground NM,National Monument,Northeast ,NY,2018,5,6335,0,4077,0,0,0,0,0,0,0,AFBG,0.35,18100
17,African Burial Ground NM,National Monument,Northeast ,NY,2018,6,6432,0,4081,0,0,0,0,0,0,0,AFBG,0.35,18377.14286
18,African Burial Ground NM,National Monument,Northeast ,NY,2018,7,6146,0,3922,0,0,0,0,0,0,0,AFBG,0.35,17560
19,African Burial Ground NM,National Monument,Northeast ,NY,2018,8,4031,0,2613,0,0,0,0,0,0,0,AFBG,0.35,11517.14286
20,African Burial Ground NM,National Monument,Northeast ,NY,2018,9,3527,0,2257,0,0,0,0,0,0,0,AFBG,0.35,10077.14286
21,African Burial Ground NM,National Monument,Northeast ,NY,2018,10,8190,0,5415,0,0,0,0,0,0,0,AFBG,0.35,23400
22,African Burial Ground NM,National Monument,Northeast ,NY,2018,11,1856,0,1856,0,0,0,0,0,0,0,AFBG,0.35,5302.857143
23,African Burial Ground NM,National Monument,Northeast ,NY,2018,12,929,0,929,0,0,0,0,0,0,0,AFBG,0.35,2654.285714
24,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,1,76,0,141,0,0,0,0,0,0,0,AGFO,3057.87,0.024853902
25,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,2,96,0,200,0,0,0,0,0,0,0,AGFO,3057.87,0.031394402
26,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,3,426,0,955,0,0,0,0,0,0,0,AGFO,3057.87,0.139312659
27,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,4,428,0,942,0,0,0,0,0,0,0,AGFO,3057.87,0.139966709
28,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,5,1876,0,5008,0,0,0,0,0,0,0,AGFO,3057.87,0.613498939
29,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,6,3174,0,7668,0,0,0,0,0,0,0,AGFO,3057.87,1.037977416
30,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,7,4192,0,9686,0,0,0,0,0,0,0,AGFO,3057.87,1.370888887
31,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,8,2459,0,6246,0,0,0,0,0,0,0,AGFO,3057.87,0.804154526
32,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,9,2249,0,5281,0,0,0,0,0,0,0,AGFO,3057.87,0.735479272
33,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,10,983,0,2133,0,0,0,0,0,0,0,AGFO,3057.87,0.321465595
34,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,11,224,0,512,0,0,0,0,0,0,0,AGFO,3057.87,0.073253605
35,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,12,55,0,112,0,0,0,0,0,0,0,AGFO,3057.87,0.017986376
36,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,1,206,0,515,0,0,0,0,0,0,0,ALFL,1370.97,0.150258576
37,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,2,222,0,555,0,0,0,0,0,0,0,ALFL,1370.97,0.161929145
38,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,3,787,0,1968,0,0,0,0,0,0,0,ALFL,1370.97,0.574046113
39,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,4,723,0,1808,0,0,0,0,0,0,0,ALFL,1370.97,0.527363837
40,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,5,836,0,2090,0,0,0,0,0,0,0,ALFL,1370.97,0.609787231
41,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,6,814,0,2035,0,0,0,0,0,0,0,ALFL,1370.97,0.593740199
42,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,7,695,0,1738,0,0,0,0,0,0,0,ALFL,1370.97,0.506940342
43,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,8,870,0,2175,0,0,0,0,0,0,0,ALFL,1370.97,0.63458719
44,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,9,762,0,1905,0,0,0,0,0,0,0,ALFL,1370.97,0.555810849
45,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,10,900,0,2250,0,0,0,0,0,0,0,ALFL,1370.97,0.656469507
46,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,11,400,0,1000,0,0,0,0,0,0,0,ALFL,1370.97,0.291764225
47,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,12,200,0,500,0,0,0,0,0,0,0,ALFL,1370.97,0.145882113
48,Amistad NRA,National Recreation Area,Intermountain ,TX,2018,1,61853,94,452308,94,0,0,0,725,0,0,AMIS,58500,1.057316239
49,Amistad NRA,National Recreation Area,Intermountain ,TX,2018,2,66915,94,488480,94,0,0,0,985,0,0,AMIS,58500,1.143846154
50,Amistad NRA,National Recreation Area,Intermountain ,TX,2018,3,122355,94,893775,94,0,0,0,1675,0,0,AMIS,58500,2.091538462
51,Amistad NRA,National Recreation Area,Intermountain ,TX,2018,4,122647,94,895322,94,0,0,0,628,0,0,AMIS,58500,2.096529915
52,Amistad NRA,National Recreation Area,Intermountain ,TX,2018,5,128543,94,939927,94,0,0,0,352,0,0,AMIS,58500,2.197316239
53,Amistad NRA,National Recreation Area,Intermountain ,TX,2018,6,110865,94,811847,94,0,0,0,362,0,0,AMIS,58500,1.895128205
54,Amistad NRA,National Recreation Area,Intermountain ,TX,2018,7,130668,94,953876,94,0,0,0,232,0,0,AMIS,58500,2.233641026
55,Amistad NRA,National Recreation Area,Intermountain ,TX,2018,8,100470,94,733431,94,0,0,0,168,0,0,AMIS,58500,1.717435897
56,Amistad NRA,National Recreation Area,Intermountain ,TX,2018,9,77633,94,568672,94,0,0,0,52,0,0,AMIS,58500,1.327059829
57,Amistad NRA,National Recreation Area,Intermountain ,TX,2018,10,69516,94,510392,94,0,0,0,372,0,0,AMIS,58500,1.188307692
58,Amistad NRA,National Recreation Area,Intermountain ,TX,2018,11,59782,94,437387,94,0,0,0,1078,0,0,AMIS,58500,1.02191453
59,Amistad NRA,National Recreation Area,Intermountain ,TX,2018,12,60523,94,441819,94,0,0,0,0,0,0,AMIS,58500,1.034581197
60,Aniakchak NM & PRES,National Monument,Alaska,AK,2018,1,0,0,0,0,0,0,0,0,0,0,ANIA,601293.93,0
61,Aniakchak NM & PRES,National Monument,Alaska,AK,2018,2,0,0,0,0,0,0,0,0,0,0,ANIA,601293.93,0
62,Aniakchak NM & PRES,National Monument,Alaska,AK,2018,3,0,0,0,0,0,0,0,0,0,0,ANIA,601293.93,0
63,Aniakchak NM & PRES,National Monument,Alaska,AK,2018,4,0,0,0,0,0,0,0,0,0,0,ANIA,601293.93,0
64,Aniakchak NM & PRES,National Monument,Alaska,AK,2018,5,0,0,0,0,0,0,0,0,0,0,ANIA,601293.93,0
65,Aniakchak NM & PRES,National Monument,Alaska,AK,2018,6,20,0,1200,0,0,0,0,0,50,0,ANIA,601293.93,3.33E-05
66,Aniakchak NM & PRES,National Monument,Alaska,AK,2018,7,35,0,1920,0,0,0,0,0,80,0,ANIA,601293.93,5.82E-05
67,Aniakchak NM & PRES,National Monument,Alaska,AK,2018,8,35,0,1920,0,0,0,0,0,80,0,ANIA,601293.93,5.82E-05
68,Aniakchak NM & PRES,National Monument,Alaska,AK,2018,9,10,0,600,0,0,0,0,0,25,0,ANIA,601293.93,1.66E-05
69,Aniakchak NM & PRES,National Monument,Alaska,AK,2018,10,0,0,0,0,0,0,0,0,0,0,ANIA,601293.93,0
70,Aniakchak NM & PRES,National Monument,Alaska,AK,2018,11,0,0,0,0,0,0,0,0,0,0,ANIA,601293.93,0
71,Aniakchak NM & PRES,National Monument,Alaska,AK,2018,12,0,0,0,0,0,0,0,0,0,0,ANIA,601293.93,0
72,Apostle Islands NL,National Lakeshore,Midwest ,WI,2018,1,3831,0,5545,0,0,0,0,0,0,0,APIS,69377.43,0.055219687
73,Apostle Islands NL,National Lakeshore,Midwest ,WI,2018,2,4990,0,7391,0,0,0,0,0,0,0,APIS,69377.43,0.071925409
74,Apostle Islands NL,National Lakeshore,Midwest ,WI,2018,3,3461,0,3814,0,0,0,0,0,0,0,APIS,69377.43,0.049886541
75,Apostle Islands NL,National Lakeshore,Midwest ,WI,2018,4,4234,0,4699,0,0,0,0,0,0,0,APIS,69377.43,0.061028493
76,Apostle Islands NL,National Lakeshore,Midwest ,WI,2018,5,16245,40,35897,40,0,0,0,0,140,0,APIS,69377.43,0.23415396
77,Apostle Islands NL,National Lakeshore,Midwest ,WI,2018,6,33439,180,112219,180,0,0,0,0,1951,0,APIS,69377.43,0.481986721
78,Apostle Islands NL,National Lakeshore,Midwest ,WI,2018,7,64317,200,241931,200,0,0,0,0,4196,0,APIS,69377.43,0.92705942
79,Apostle Islands NL,National Lakeshore,Midwest ,WI,2018,8,66013,180,271897,180,0,0,0,0,3940,0,APIS,69377.43,0.95150541
80,Apostle Islands NL,National Lakeshore,Midwest ,WI,2018,9,34295,140,103071,140,0,0,0,0,669,0,APIS,69377.43,0.494325028
81,Apostle Islands NL,National Lakeshore,Midwest ,WI,2018,10,14030,40,30117,40,0,0,0,0,76,0,APIS,69377.43,0.202227151
82,Apostle Islands NL,National Lakeshore,Midwest ,WI,2018,11,3201,0,6292,0,0,0,0,0,0,0,APIS,69377.43,0.046138924
83,Apostle Islands NL,National Lakeshore,Midwest ,WI,2018,12,4864,0,3887,0,0,0,0,0,0,0,APIS,69377.43,0.070109256
84,Arches NP,National Park,Intermountain ,UT,2018,1,31810,0,107123,0,0,0,230,257,0,0,ARCH,76678.98,0.414846416
85,Arches NP,National Park,Intermountain ,UT,2018,2,40325,0,155111,0,0,0,732,602,6,0,ARCH,76678.98,0.525893798
86,Arches NP,National Park,Intermountain ,UT,2018,3,134951,0,438754,0,0,0,559,408,40,0,ARCH,76678.98,1.759947772
87,Arches NP,National Park,Intermountain ,UT,2018,4,167156,0,611537,0,0,0,1631,2219,40,0,ARCH,76678.98,2.179945534
88,Arches NP,National Park,Intermountain ,UT,2018,5,215255,0,757596,0,0,0,1720,2271,90,0,ARCH,76678.98,2.807223049
89,Arches NP,National Park,Intermountain ,UT,2018,6,214443,0,754762,0,0,0,2562,1631,32,0,ARCH,76678.98,2.796633445
90,Arches NP,National Park,Intermountain ,UT,2018,7,205493,0,728454,0,0,0,2244,1801,23,0,ARCH,76678.98,2.679913061
91,Arches NP,National Park,Intermountain ,UT,2018,8,183840,0,646442,0,0,0,2060,1431,47,0,ARCH,76678.98,2.39752798
92,Arches NP,National Park,Intermountain ,UT,2018,9,206254,0,683816,0,0,0,1334,1253,28,0,ARCH,76678.98,2.689837554
93,Arches NP,National Park,Intermountain ,UT,2018,10,147996,0,563609,0,0,0,2618,2165,33,0,ARCH,76678.98,1.930072622
94,Arches NP,National Park,Intermountain ,UT,2018,11,74155,0,322920,0,0,0,2006,1903,25,0,ARCH,76678.98,0.967083808
95,Arches NP,National Park,Intermountain ,UT,2018,12,41879,0,136735,0,0,0,242,216,4,0,ARCH,76678.98,0.546160108
96,Assateague Island NS,National Seashore,Northeast ,MD,2018,1,38769,300,312350,300,0,0,46,125,1,0,ASIS,41346.5,0.937660987
97,Assateague Island NS,National Seashore,Northeast ,MD,2018,2,44515,300,361228,300,0,0,110,212,12,0,ASIS,41346.5,1.076632847
98,Assateague Island NS,National Seashore,Northeast ,MD,2018,3,64349,300,547150,300,0,0,690,786,61,0,ASIS,41346.5,1.556334877
99,Assateague Island NS,National Seashore,Northeast ,MD,2018,4,117990,300,1025859,300,0,0,1934,2314,226,0,ASIS,41346.5,2.853687737
100,Assateague Island NS,National Seashore,Northeast ,MD,2018,5,182378,300,1614295,300,0,0,4620,3402,262,0,ASIS,41346.5,4.410965862
101,Assateague Island NS,National Seashore,Northeast ,MD,2018,6,300161,300,2575943,300,0,0,7357,3045,201,0,ASIS,41346.5,7.259647129
102,Assateague Island NS,National Seashore,Northeast ,MD,2018,7,482737,300,4047690,300,0,0,8250,2888,231,0,ASIS,41346.5,11.67540179
103,Assateague Island NS,National Seashore,Northeast ,MD,2018,8,441014,300,3708262,300,0,0,8593,2587,211,0,ASIS,41346.5,10.66629582
104,Assateague Island NS,National Seashore,Northeast ,MD,2018,9,226607,300,1893988,300,0,0,2981,1984,184,0,ASIS,41346.5,5.480681557
105,Assateague Island NS,National Seashore,Northeast ,MD,2018,10,133813,300,1163888,300,0,0,2500,2482,100,0,ASIS,41346.5,3.236380347
106,Assateague Island NS,National Seashore,Northeast ,MD,2018,11,70767,300,607031,300,0,0,470,1586,56,0,ASIS,41346.5,1.711559624
107,Assateague Island NS,National Seashore,Northeast ,MD,2018,12,33789,300,272979,300,0,0,49,151,11,0,ASIS,41346.5,0.817215484
108,Aztec Ruins NM,National Monument,Intermountain ,NM,2018,1,1779,80,2668,80,0,0,0,0,0,0,AZRU,318.4,5.587311558
109,Aztec Ruins NM,National Monument,Intermountain ,NM,2018,2,1870,61,2805,61,0,0,0,0,0,0,AZRU,318.4,5.873115578
110,Aztec Ruins NM,National Monument,Intermountain ,NM,2018,3,3892,114,5838,114,0,0,0,0,0,0,AZRU,318.4,12.22361809
111,Aztec Ruins NM,National Monument,Intermountain ,NM,2018,4,4952,134,7428,134,0,0,0,0,0,0,AZRU,318.4,15.55276382
112,Aztec Ruins NM,National Monument,Intermountain ,NM,2018,5,5403,214,8104,214,0,0,0,0,0,0,AZRU,318.4,16.96922111
113,Aztec Ruins NM,National Monument,Intermountain ,NM,2018,6,7315,140,10972,140,0,0,0,0,0,0,AZRU,318.4,22.97424623
114,Aztec Ruins NM,National Monument,Intermountain ,NM,2018,7,7894,325,11841,325,0,0,0,0,0,0,AZRU,318.4,24.79271357
115,Aztec Ruins NM,National Monument,Intermountain ,NM,2018,8,5426,142,8139,142,0,0,0,0,0,0,AZRU,318.4,17.04145729
116,Aztec Ruins NM,National Monument,Intermountain ,NM,2018,9,5743,167,8614,167,0,0,0,0,0,0,AZRU,318.4,18.0370603
117,Aztec Ruins NM,National Monument,Intermountain ,NM,2018,10,5253,178,7880,178,0,0,0,0,0,0,AZRU,318.4,16.49811558
118,Aztec Ruins NM,National Monument,Intermountain ,NM,2018,11,3190,184,4785,184,0,0,0,0,0,0,AZRU,318.4,10.01884422
119,Aztec Ruins NM,National Monument,Intermountain ,NM,2018,12,2216,154,3324,154,0,0,0,0,0,0,AZRU,318.4,6.959798995
120,Badlands NP,National Park,Midwest ,SD,2018,1,10610,2738,41537,2738,0,2,2,4,5,0,BADL,242755.94,0.043706449
121,Badlands NP,National Park,Midwest ,SD,2018,2,9456,3018,37045,3018,0,3,4,0,7,0,BADL,242755.94,0.038952703
122,Badlands NP,National Park,Midwest ,SD,2018,3,16616,3466,66902,3466,0,13,29,4,129,0,BADL,242755.94,0.068447347
123,Badlands NP,National Park,Midwest ,SD,2018,4,21343,4564,90605,4564,125,296,42,31,120,0,BADL,242755.94,0.087919579
124,Badlands NP,National Park,Midwest ,SD,2018,5,84527,13708,375688,13708,1067,1745,358,139,527,0,BADL,242755.94,0.348197453
125,Badlands NP,National Park,Midwest ,SD,2018,6,208645,28446,884408,28446,1937,2810,516,158,470,0,BADL,242755.94,0.859484633
126,Badlands NP,National Park,Midwest ,SD,2018,7,263863,9465,1110090,9465,2163,2958,818,161,652,0,BADL,242755.94,1.086947656
127,Badlands NP,National Park,Midwest ,SD,2018,8,217350,9222,920577,9222,1965,2881,603,101,526,0,BADL,242755.94,0.895343694
128,Badlands NP,National Park,Midwest ,SD,2018,9,116826,18316,514649,18316,1517,2505,411,148,338,0,BADL,242755.94,0.48124878
129,Badlands NP,National Park,Midwest ,SD,2018,10,33527,7198,148961,7198,601,612,133,30,141,0,BADL,242755.94,0.138109906
130,Badlands NP,National Park,Midwest ,SD,2018,11,16442,2764,64329,2764,0,5,4,2,6,0,BADL,242755.94,0.067730577
131,Badlands NP,National Park,Midwest ,SD,2018,12,9737,2204,38034,2204,0,0,0,0,5,0,BADL,242755.94,0.040110244
132,Bandelier NM,National Monument,Intermountain ,NM,2018,1,6840,70,23459,70,0,0,89,96,22,0,BAND,33676.67,0.203107968
133,Bandelier NM,National Monument,Intermountain ,NM,2018,2,7521,70,27536,70,0,0,67,134,24,0,BAND,33676.67,0.223329682
134,Bandelier NM,National Monument,Intermountain ,NM,2018,3,21175,70,86014,70,0,0,436,503,104,0,BAND,33676.67,0.628773569
135,Bandelier NM,National Monument,Intermountain ,NM,2018,4,20807,70,98789,70,0,0,498,982,175,0,BAND,33676.67,0.617846123
136,Bandelier NM,National Monument,Intermountain ,NM,2018,5,23897,70,145361,70,0,0,1230,1106,137,0,BAND,33676.67,0.709601038
137,Bandelier NM,National Monument,Intermountain ,NM,2018,6,18808,70,101240,70,0,0,590,791,0,0,BAND,33676.67,0.558487523
138,Bandelier NM,National Monument,Intermountain ,NM,2018,7,21340,70,105684,70,0,0,977,550,14,0,BAND,33676.67,0.633673104
139,Bandelier NM,National Monument,Intermountain ,NM,2018,8,18637,70,91662,70,0,0,526,656,31,0,BAND,33676.67,0.553409823
140,Bandelier NM,National Monument,Intermountain ,NM,2018,9,20320,70,115116,70,0,0,761,1281,50,0,BAND,33676.67,0.603385073
141,Bandelier NM,National Monument,Intermountain ,NM,2018,10,24705,70,117138,70,0,0,446,1241,61,0,BAND,33676.67,0.733593909
142,Bandelier NM,National Monument,Intermountain ,NM,2018,11,11555,70,43154,70,0,0,92,329,50,0,BAND,33676.67,0.343115872
143,Bandelier NM,National Monument,Intermountain ,NM,2018,12,2836,70,8722,70,0,0,5,25,2,0,BAND,33676.67,0.084212602
144,Belmont-Paul Women's Equality NM,National Monument,National Capital ,,2018,1,5,0,5,0,0,0,0,0,0,0,BEPA,0.34,14.70588235
145,Belmont-Paul Women's Equality NM,National Monument,National Capital ,,2018,2,366,0,366,0,0,0,0,0,0,0,BEPA,0.34,1076.470588
146,Belmont-Paul Women's Equality NM,National Monument,National Capital ,,2018,3,1276,0,1276,0,0,0,0,0,0,0,BEPA,0.34,3752.941176
147,Belmont-Paul Women's Equality NM,National Monument,National Capital ,,2018,4,1058,0,1058,0,0,0,0,0,0,0,BEPA,0.34,3111.764706
148,Belmont-Paul Women's Equality NM,National Monument,National Capital ,,2018,5,765,0,765,0,0,0,0,0,0,0,BEPA,0.34,2250
149,Belmont-Paul Women's Equality NM,National Monument,National Capital ,,2018,6,955,0,955,0,0,0,0,0,0,0,BEPA,0.34,2808.823529
150,Belmont-Paul Women's Equality NM,National Monument,National Capital ,,2018,7,1053,0,1053,0,0,0,0,0,0,0,BEPA,0.34,3097.058824
151,Belmont-Paul Women's Equality NM,National Monument,National Capital ,,2018,8,1070,0,1070,0,0,0,0,0,0,0,BEPA,0.34,3147.058824
152,Belmont-Paul Women's Equality NM,National Monument,National Capital ,,2018,9,609,0,609,0,0,0,0,0,0,0,BEPA,0.34,1791.176471
153,Belmont-Paul Women's Equality NM,National Monument,National Capital ,,2018,10,844,0,844,0,0,0,0,0,0,0,BEPA,0.34,2482.352941
154,Belmont-Paul Women's Equality NM,National Monument,National Capital ,,2018,11,718,0,718,0,0,0,0,0,0,0,BEPA,0.34,2111.764706
155,Belmont-Paul Women's Equality NM,National Monument,National Capital ,,2018,12,362,0,324,0,0,0,0,0,0,0,BEPA,0.34,1064.705882
156,Bering Land Bridge NPRES,National Preserve,Alaska,AK,2018,1,260,40,780,40,0,0,0,0,115,0,BELA,2697391.01,9.64E-05
157,Bering Land Bridge NPRES,National Preserve,Alaska,AK,2018,2,127,133,381,133,0,0,0,0,70,45,BELA,2697391.01,4.71E-05
158,Bering Land Bridge NPRES,National Preserve,Alaska,AK,2018,3,292,262,876,262,0,0,0,0,174,51,BELA,2697391.01,0.000108253
159,Bering Land Bridge NPRES,National Preserve,Alaska,AK,2018,4,216,164,648,164,0,0,0,0,102,24,BELA,2697391.01,8.01E-05
160,Bering Land Bridge NPRES,National Preserve,Alaska,AK,2018,5,172,145,516,145,0,0,0,0,52,22,BELA,2697391.01,6.38E-05
161,Bering Land Bridge NPRES,National Preserve,Alaska,AK,2018,6,148,23,444,23,0,0,0,0,56,21,BELA,2697391.01,5.49E-05
162,Bering Land Bridge NPRES,National Preserve,Alaska,AK,2018,7,438,21,1314,21,0,0,0,0,174,56,BELA,2697391.01,0.000162379
163,Bering Land Bridge NPRES,National Preserve,Alaska,AK,2018,8,156,21,468,21,0,0,0,0,78,33,BELA,2697391.01,5.78E-05
164,Bering Land Bridge NPRES,National Preserve,Alaska,AK,2018,9,61,11,183,11,0,0,0,0,21,10,BELA,2697391.01,2.26E-05
165,Bering Land Bridge NPRES,National Preserve,Alaska,AK,2018,10,422,51,1266,51,0,0,0,0,174,42,BELA,2697391.01,0.000156447
166,Bering Land Bridge NPRES,National Preserve,Alaska,AK,2018,11,182,122,546,122,0,0,0,0,52,30,BELA,2697391.01,6.75E-05
167,Bering Land Bridge NPRES,National Preserve,Alaska,AK,2018,12,168,135,504,135,0,0,0,0,55,26,BELA,2697391.01,6.23E-05
168,Big Bend NP,National Park,Intermountain ,TX,2018,1,33434,197,971837,197,4449,1420,5045,6263,3402,0,BIBE,801163.21,0.041731821
169,Big Bend NP,National Park,Intermountain ,TX,2018,2,42670,197,1109755,197,3959,1368,4646,6901,2806,0,BIBE,801163.21,0.053260059
170,Big Bend NP,National Park,Intermountain ,TX,2018,3,75897,197,1793627,197,4941,1572,10088,6157,5883,0,BIBE,801163.21,0.094733506
171,Big Bend NP,National Park,Intermountain ,TX,2018,4,48454,197,1177873,197,4039,1451,8089,4925,1917,0,BIBE,801163.21,0.060479562
172,Big Bend NP,National Park,Intermountain ,TX,2018,5,35993,197,764383,197,4411,1187,4635,902,998,0,BIBE,801163.21,0.044925927
173,Big Bend NP,National Park,Intermountain ,TX,2018,6,20335,197,445138,197,3762,518,2682,323,337,0,BIBE,801163.21,0.025381844
174,Big Bend NP,National Park,Intermountain ,TX,2018,7,19416,197,402210,197,3080,427,2196,312,446,0,BIBE,801163.21,0.024234762
175,Big Bend NP,National Park,Intermountain ,TX,2018,8,16895,197,349097,197,2647,276,2239,88,378,0,BIBE,801163.21,0.021088088
176,Big Bend NP,National Park,Intermountain ,TX,2018,9,21625,197,464407,197,3331,703,2359,376,687,0,BIBE,801163.21,0.026992003
177,Big Bend NP,National Park,Intermountain ,TX,2018,10,35547,197,786445,197,4279,1325,4008,655,1646,0,BIBE,801163.21,0.044369237
178,Big Bend NP,National Park,Intermountain ,TX,2018,11,46998,197,1140403,197,4440,1379,6238,3091,3597,0,BIBE,801163.21,0.058662204
179,Big Bend NP,National Park,Intermountain ,TX,2018,12,42827,197,948398,197,4727,1434,3638,3216,1761,0,BIBE,801163.21,0.053456024
180,Big Cypress NPRES,National Preserve,Southeast ,FL,2018,1,58788,0,302867,0,0,0,638,2938,0,0,BICY,720564.01,0.08158609
181,Big Cypress NPRES,National Preserve,Southeast ,FL,2018,2,114628,0,272692,0,0,0,0,0,0,0,BICY,720564.01,0.15908094
182,Big Cypress NPRES,National Preserve,Southeast ,FL,2018,3,108822,0,361720,0,0,0,695,2082,0,0,BICY,720564.01,0.151023363
183,Big Cypress NPRES,National Preserve,Southeast ,FL,2018,4,97916,0,277836,0,0,0,248,478,4,0,BICY,720564.01,0.135887997
184,Big Cypress NPRES,National Preserve,Southeast ,FL,2018,5,60940,0,173152,0,0,0,45,118,0,0,BICY,720564.01,0.084572639
185,Big Cypress NPRES,National Preserve,Southeast ,FL,2018,6,43628,0,115207,0,0,0,0,0,0,0,BICY,720564.01,0.060547015
186,Big Cypress NPRES,National Preserve,Southeast ,FL,2018,7,46520,0,103620,0,0,0,25,78,0,0,BICY,720564.01,0.064560538
187,Big Cypress NPRES,National Preserve,Southeast ,FL,2018,8,31974,0,90106,0,0,0,35,78,0,0,BICY,720564.01,0.044373573
188,Big Cypress NPRES,National Preserve,Southeast ,FL,2018,9,38965,0,106965,0,0,0,0,0,6,0,BICY,720564.01,0.054075696
189,Big Cypress NPRES,National Preserve,Southeast ,FL,2018,10,42112,0,193602,0,0,0,0,0,12,0,BICY,720564.01,0.058443108
190,Big Cypress NPRES,National Preserve,Southeast ,FL,2018,11,72107,0,196275,0,0,0,0,0,1052,0,BICY,720564.01,0.100070221
191,Big Cypress NPRES,National Preserve,Southeast ,FL,2018,12,77950,0,251781,0,0,0,0,0,2122,0,BICY,720564.01,0.108179147
192,Big South Fork NRRA,National River,Southeast ,TN,2018,1,24956,0,154667,0,0,0,10,47,283,0,BISO,123694.1,0.201755783
193,Big South Fork NRRA,National River,Southeast ,TN,2018,2,44368,0,271456,0,0,0,8,120,234,0,BISO,123694.1,0.35869132
194,Big South Fork NRRA,National River,Southeast ,TN,2018,3,63720,0,400793,0,0,0,104,362,808,0,BISO,123694.1,0.515141789
195,Big South Fork NRRA,National River,Southeast ,TN,2018,4,68912,0,490642,0,169,0,628,2956,843,0,BISO,123694.1,0.557116305
196,Big South Fork NRRA,National River,Southeast ,TN,2018,5,81649,0,599212,0,368,0,1005,3992,1409,0,BISO,123694.1,0.660088072
197,Big South Fork NRRA,National River,Southeast ,TN,2018,6,93029,0,681074,0,161,0,720,5785,1283,0,BISO,123694.1,0.752089227
198,Big South Fork NRRA,National River,Southeast ,TN,2018,7,84495,0,624682,0,209,0,584,6078,639,0,BISO,123694.1,0.683096445
