Bookmark
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Traffic%20Counts%20(1985%20-%20Last%20Calendar%20Year)

ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotal,YearTotal,TrafficCountTotal
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1989,10,"27,000",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1989,"183,753"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1989,11,"15,700",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1989,"183,753"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1989,12,"11,390",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1989,"183,753"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,1,"3,066",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,"83,872"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,2,"3,457",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,"83,872"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,3,"3,076",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,"83,872"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,4,"2,173",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,"83,872"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,5,"5,920",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,"83,872"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,6,"10,183",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,"83,872"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,7,"11,412",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,"83,872"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,8,"9,725",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,"83,872"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,9,"11,212",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,"83,872"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,10,"10,041",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,"83,872"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,11,"8,178",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,"83,872"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,12,"5,429",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,"83,872"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,1,"7,741",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,"164,786"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,2,"7,896",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,"164,786"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,3,"7,247",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,"164,786"
