,ParkName,UnitCode,ParkType,Year,Month,TrafficCount,CountLocation,latitude,longitude,TrafficCountDay,CountID
144818,Acadia NP,ACAD,National Park,2019,1,1620,SAND BEACH,44.3292049,-68.181973,52.25806452,22
144819,Acadia NP,ACAD,National Park,2019,2,1876,SAND BEACH,44.3292049,-68.181973,67.0,22
144820,Acadia NP,ACAD,National Park,2019,3,3673,SAND BEACH,44.3292049,-68.181973,118.483871,22
144821,Acadia NP,ACAD,National Park,2019,4,8625,SAND BEACH,44.3292049,-68.181973,287.5,22
144822,Acadia NP,ACAD,National Park,2019,5,25714,SAND BEACH,44.3292049,-68.181973,829.483871,22
144823,Acadia NP,ACAD,National Park,2019,6,51944,SAND BEACH,44.3292049,-68.181973,1731.4666670000001,22
144824,Acadia NP,ACAD,National Park,2019,7,75628,SAND BEACH,44.3292049,-68.181973,2439.612903,22
144825,Acadia NP,ACAD,National Park,2019,8,75542,SAND BEACH,44.3292049,-68.181973,2436.83871,22
144826,Acadia NP,ACAD,National Park,2019,9,60667,SAND BEACH,44.3292049,-68.181973,2022.233333,22
144827,Acadia NP,ACAD,National Park,2019,10,47346,SAND BEACH,44.3292049,-68.181973,1527.290323,22
144828,Acadia NP,ACAD,National Park,2019,11,5951,SAND BEACH,44.3292049,-68.181973,198.3666667,22
144829,Acadia NP,ACAD,National Park,2019,12,2907,SAND BEACH,44.3292049,-68.181973,93.77419355,22
144878,Acadia NP,ACAD,National Park,2019,1,1950,SCHOODIC,44.366747100000005,-68.05806109999999,62.90322581,23
144879,Acadia NP,ACAD,National Park,2019,2,1800,SCHOODIC,44.366747100000005,-68.05806109999999,64.28571429,23
144880,Acadia NP,ACAD,National Park,2019,3,2600,SCHOODIC,44.366747100000005,-68.05806109999999,83.87096774,23
144881,Acadia NP,ACAD,National Park,2019,4,3300,SCHOODIC,44.366747100000005,-68.05806109999999,110.0,23
144882,Acadia NP,ACAD,National Park,2019,5,7453,SCHOODIC,44.366747100000005,-68.05806109999999,240.4193548,23
144883,Acadia NP,ACAD,National Park,2019,6,14872,SCHOODIC,44.366747100000005,-68.05806109999999,495.7333333000001,23
144884,Acadia NP,ACAD,National Park,2019,7,23171,SCHOODIC,44.366747100000005,-68.05806109999999,747.4516129,23
144885,Acadia NP,ACAD,National Park,2019,8,23884,SCHOODIC,44.366747100000005,-68.05806109999999,770.4516129,23
144886,Acadia NP,ACAD,National Park,2019,9,18807,SCHOODIC,44.366747100000005,-68.05806109999999,626.9,23
144887,Acadia NP,ACAD,National Park,2019,10,11517,SCHOODIC,44.366747100000005,-68.05806109999999,371.516129,23
144888,Acadia NP,ACAD,National Park,2019,11,2750,SCHOODIC,44.366747100000005,-68.05806109999999,91.66666667,23
144889,Acadia NP,ACAD,National Park,2019,12,1800,SCHOODIC,44.366747100000005,-68.05806109999999,58.06451613,23
144938,Amistad NRA,AMIS,National Recreation Area,2019,1,2697,BLACK BRUSH POINT,29.4744412,-100.9860561,87.0,24
144939,Amistad NRA,AMIS,National Recreation Area,2019,2,1577,BLACK BRUSH POINT,29.4744412,-100.9860561,56.32142857,24
144940,Amistad NRA,AMIS,National Recreation Area,2019,3,2656,BLACK BRUSH POINT,29.4744412,-100.9860561,85.67741935,24
144941,Amistad NRA,AMIS,National Recreation Area,2019,4,2366,BLACK BRUSH POINT,29.4744412,-100.9860561,78.86666667,24
144942,Amistad NRA,AMIS,National Recreation Area,2019,5,4194,BLACK BRUSH POINT,29.4744412,-100.9860561,135.2903226,24
144943,Amistad NRA,AMIS,National Recreation Area,2019,6,3013,BLACK BRUSH POINT,29.4744412,-100.9860561,100.4333333,24
144944,Amistad NRA,AMIS,National Recreation Area,2019,7,5039,BLACK BRUSH POINT,29.4744412,-100.9860561,162.5483871,24
144945,Amistad NRA,AMIS,National Recreation Area,2019,8,3149,BLACK BRUSH POINT,29.4744412,-100.9860561,101.5806452,24
144946,Amistad NRA,AMIS,National Recreation Area,2019,9,1849,BLACK BRUSH POINT,29.4744412,-100.9860561,61.63333333,24
144947,Amistad NRA,AMIS,National Recreation Area,2019,10,2739,BLACK BRUSH POINT,29.4744412,-100.9860561,88.35483871,24
144948,Amistad NRA,AMIS,National Recreation Area,2019,11,1396,BLACK BRUSH POINT,29.4744412,-100.9860561,46.53333333,24
144949,Amistad NRA,AMIS,National Recreation Area,2019,12,2567,BLACK BRUSH POINT,29.4744412,-100.9860561,82.80645161,24
144998,Amistad NRA,AMIS,National Recreation Area,2019,1,2600,BOX CANYON,29.523554999999998,-101.1532421,83.87096774,25
144999,Amistad NRA,AMIS,National Recreation Area,2019,2,2568,BOX CANYON,29.523554999999998,-101.1532421,91.71428571,25
145000,Amistad NRA,AMIS,National Recreation Area,2019,3,1272,BOX CANYON,29.523554999999998,-101.1532421,41.03225806,25
145001,Amistad NRA,AMIS,National Recreation Area,2019,4,5688,BOX CANYON,29.523554999999998,-101.1532421,189.6,25
145002,Amistad NRA,AMIS,National Recreation Area,2019,5,5513,BOX CANYON,29.523554999999998,-101.1532421,177.83870969999998,25
145003,Amistad NRA,AMIS,National Recreation Area,2019,6,3915,BOX CANYON,29.523554999999998,-101.1532421,130.5,25
145004,Amistad NRA,AMIS,National Recreation Area,2019,7,5039,BOX CANYON,29.523554999999998,-101.1532421,162.5483871,25
145005,Amistad NRA,AMIS,National Recreation Area,2019,8,5039,BOX CANYON,29.523554999999998,-101.1532421,162.5483871,25
145006,Amistad NRA,AMIS,National Recreation Area,2019,9,3576,BOX CANYON,29.523554999999998,-101.1532421,119.2,25
145007,Amistad NRA,AMIS,National Recreation Area,2019,10,4001,BOX CANYON,29.523554999999998,-101.1532421,129.0645161,25
145008,Amistad NRA,AMIS,National Recreation Area,2019,11,2135,BOX CANYON,29.523554999999998,-101.1532421,71.16666667,25
145009,Amistad NRA,AMIS,National Recreation Area,2019,12,2307,BOX CANYON,29.523554999999998,-101.1532421,74.41935484,25
145058,Amistad NRA,AMIS,National Recreation Area,2019,1,3673,DIABLO EAST,29.4778891,-101.01669,118.483871,26
145059,Amistad NRA,AMIS,National Recreation Area,2019,2,3923,DIABLO EAST,29.4778891,-101.01669,140.1071429,26
145060,Amistad NRA,AMIS,National Recreation Area,2019,3,5363,DIABLO EAST,29.4778891,-101.01669,173.0,26
145061,Amistad NRA,AMIS,National Recreation Area,2019,4,8310,DIABLO EAST,29.4778891,-101.01669,277.0,26
145062,Amistad NRA,AMIS,National Recreation Area,2019,5,7131,DIABLO EAST,29.4778891,-101.01669,230.03225809999998,26
145063,Amistad NRA,AMIS,National Recreation Area,2019,6,5611,DIABLO EAST,29.4778891,-101.01669,187.0333333,26
145064,Amistad NRA,AMIS,National Recreation Area,2019,7,7192,DIABLO EAST,29.4778891,-101.01669,232.0,26
145065,Amistad NRA,AMIS,National Recreation Area,2019,8,4705,DIABLO EAST,29.4778891,-101.01669,151.7741935,26
145066,Amistad NRA,AMIS,National Recreation Area,2019,9,5113,DIABLO EAST,29.4778891,-101.01669,170.43333330000002,26
145067,Amistad NRA,AMIS,National Recreation Area,2019,10,5113,DIABLO EAST,29.4778891,-101.01669,164.9354839,26
145068,Amistad NRA,AMIS,National Recreation Area,2019,11,3658,DIABLO EAST,29.4778891,-101.01669,121.93333329999999,26
145069,Amistad NRA,AMIS,National Recreation Area,2019,12,2411,DIABLO EAST,29.4778891,-101.01669,77.77419355,26
145118,Amistad NRA,AMIS,National Recreation Area,2019,1,1679,GOVERNORS LANDING,29.4788825,-101.028699,54.16129032,27
145119,Amistad NRA,AMIS,National Recreation Area,2019,2,2110,GOVERNORS LANDING,29.4788825,-101.028699,75.35714286,27
145120,Amistad NRA,AMIS,National Recreation Area,2019,3,2442,GOVERNORS LANDING,29.4788825,-101.028699,78.77419355,27
145121,Amistad NRA,AMIS,National Recreation Area,2019,4,3078,GOVERNORS LANDING,29.4788825,-101.028699,102.6,27
145122,Amistad NRA,AMIS,National Recreation Area,2019,5,3078,GOVERNORS LANDING,29.4788825,-101.028699,99.29032258,27
145123,Amistad NRA,AMIS,National Recreation Area,2019,6,4089,GOVERNORS LANDING,29.4788825,-101.028699,136.3,27
145124,Amistad NRA,AMIS,National Recreation Area,2019,7,5169,GOVERNORS LANDING,29.4788825,-101.028699,166.7419355,27
145125,Amistad NRA,AMIS,National Recreation Area,2019,8,5169,GOVERNORS LANDING,29.4788825,-101.028699,166.7419355,27
145126,Amistad NRA,AMIS,National Recreation Area,2019,9,2785,GOVERNORS LANDING,29.4788825,-101.028699,92.83333333,27
145127,Amistad NRA,AMIS,National Recreation Area,2019,10,7350,GOVERNORS LANDING,29.4788825,-101.028699,237.0967742,27
145128,Amistad NRA,AMIS,National Recreation Area,2019,11,6430,GOVERNORS LANDING,29.4788825,-101.028699,214.33333330000002,27
145129,Amistad NRA,AMIS,National Recreation Area,2019,12,5956,GOVERNORS LANDING,29.4788825,-101.028699,192.1290323,27
145178,Amistad NRA,AMIS,National Recreation Area,2019,1,500,PECOS RIVER,29.704420199999998,-101.36071559999999,16.12903226,28
145179,Amistad NRA,AMIS,National Recreation Area,2019,2,592,PECOS RIVER,29.704420199999998,-101.36071559999999,21.14285714,28
145180,Amistad NRA,AMIS,National Recreation Area,2019,3,266,PECOS RIVER,29.704420199999998,-101.36071559999999,8.580645161,28
145181,Amistad NRA,AMIS,National Recreation Area,2019,4,726,PECOS RIVER,29.704420199999998,-101.36071559999999,24.2,28
145182,Amistad NRA,AMIS,National Recreation Area,2019,5,778,PECOS RIVER,29.704420199999998,-101.36071559999999,25.09677419,28
145183,Amistad NRA,AMIS,National Recreation Area,2019,6,487,PECOS RIVER,29.704420199999998,-101.36071559999999,16.23333333,28
145184,Amistad NRA,AMIS,National Recreation Area,2019,7,713,PECOS RIVER,29.704420199999998,-101.36071559999999,23.0,28
145185,Amistad NRA,AMIS,National Recreation Area,2019,8,271,PECOS RIVER,29.704420199999998,-101.36071559999999,8.741935483999999,28
145186,Amistad NRA,AMIS,National Recreation Area,2019,9,537,PECOS RIVER,29.704420199999998,-101.36071559999999,17.9,28
145187,Amistad NRA,AMIS,National Recreation Area,2019,10,1002,PECOS RIVER,29.704420199999998,-101.36071559999999,32.32258065,28
145188,Amistad NRA,AMIS,National Recreation Area,2019,11,348,PECOS RIVER,29.704420199999998,-101.36071559999999,11.6,28
145189,Amistad NRA,AMIS,National Recreation Area,2019,12,499,PECOS RIVER,29.704420199999998,-101.36071559999999,16.09677419,28
145238,Amistad NRA,AMIS,National Recreation Area,2019,1,1842,ROUGH CANYON ROAD,29.573393499999998,-100.97716779999999,59.41935484,29
145239,Amistad NRA,AMIS,National Recreation Area,2019,2,2864,ROUGH CANYON ROAD,29.573393499999998,-100.97716779999999,102.2857143,29
145240,Amistad NRA,AMIS,National Recreation Area,2019,3,1258,ROUGH CANYON ROAD,29.573393499999998,-100.97716779999999,40.58064516,29
145241,Amistad NRA,AMIS,National Recreation Area,2019,4,7415,ROUGH CANYON ROAD,29.573393499999998,-100.97716779999999,247.16666669999998,29
145242,Amistad NRA,AMIS,National Recreation Area,2019,5,5634,ROUGH CANYON ROAD,29.573393499999998,-100.97716779999999,181.7419355,29
145243,Amistad NRA,AMIS,National Recreation Area,2019,6,4309,ROUGH CANYON ROAD,29.573393499999998,-100.97716779999999,143.6333333,29
145244,Amistad NRA,AMIS,National Recreation Area,2019,7,5643,ROUGH CANYON ROAD,29.573393499999998,-100.97716779999999,182.0322581,29
145245,Amistad NRA,AMIS,National Recreation Area,2019,8,5643,ROUGH CANYON ROAD,29.573393499999998,-100.97716779999999,182.0322581,29
145246,Amistad NRA,AMIS,National Recreation Area,2019,9,4465,ROUGH CANYON ROAD,29.573393499999998,-100.97716779999999,148.83333330000002,29
